,Filenumber,Answer
0,6127,महाराष्ट्र से हमारे श्वेता लिख रहे हैं कि मेरी वाइफ जो हैं हम तुझे पत्नी हैं सेक्स नहीं करने देती हैं अच्छा अब वही करेगी घबराती हैं डरती हैं हीरो दोस्त में हमेशा कहते हैं कि जो हमारे किसी के लिए भी आदमी औरत हो जो भी रिश्ता आदमी आदमी औरत औरत या कुछ और तो उसमें क्या है ना कि जो हमारे पहले शुरू के एक्सपीरियंस होते हैं ना पिक्स के साथ बहुत ही खतरनाक पार्टनर को यह लग रहा है डर लग रहा है मुझे दर्द होगा मैं तकलीफ में रहूंगी मुझे कुछ हो जाएगा मैं प्रेग्नेंट हो जाए तो उसकी सारी बातें घबराहट की बैठकें इन को निकालने का एक ही तरीका वह बातचीत करके उनके अंदर एक साथ दिला कर उनको एक संतोष दिलाती है कि नहीं डरने की बात नहीं है जो तुम चाहती हो वैसे करके देखते हैं जितना तुम्हें करना है वैसे कर लेते हैं आस्था आस्था फुल को अप्रोच करेंगे एकदम से जो है लिंग प्रदेश योनि में हो जाएगा बिल्कुल ऐसे सोचे कि मैं बिल्कुल पूरी की पूरी न्यू फिल्म छाप दूंगा आपके मन में अपेक्षा कुछ और है उसको पूरा नहीं कर पा रही है तो यह तो मामला कहीं जा नहीं रहा है ना तो आप उनको बाहर लेकर जाइए दिखाइए समझाइए कि देखिए मुझे आपकी तरफ ऑफिस कि आप मेरी वाइफ हैं आप भी मेरे नजदीक होना चाहती हैं मैं भी चाहता कैसे किया जाए किस बात का डर है आपको मैं आपको आस्था से प्यार करता मैं आपको ट्रेनिंग करता हूं आपको समझा था आपको जो अच्छा लगे वह करेंगे जहां पर आपको अच्छा ना लगे आप मुझे मना कर देना मैं रो दूंगा उनको आपको आश्वासन देना है यह एक रिश्ते की भी नहीं है और यदि यह कॉमेडियंस हमारे पास में आ जाता है तो रिश्ता लंबा चलता है क्यों क्योंकि हमें लगता है कि व्यक्ति तो मेरा देखभाल करेगा कुछ भी हो जाए अपने देश को देश में हो रही हो तो कि मेरे को नुकसान नहीं होने देगा तो क्या मुझे कोई दर्द नहीं पहुंचाएगा तो उसकी सिम का आश्वासन लंबे समय चाहे जितना भी समय लग जाए वह समय लगाकर आप उनको जीतेंगे और उनका कॉन्फिडेंस बनाएंगे और फिर मुकमल सेक्सी न्यू से पहले आप कितना कुछ कर सकते हैं और इंसान चुंबन साथ में लेटना दोनों लोग साथ साथ हम भी कर सकते हैं आपके शरीर को जानने की कोशिश कर सकते हैं कोई प्रश्न आ डालते हुए कि नहीं वह नहीं करेंगे जब तक तुम तक हार नहीं होती हो इस तरह से करेंगे कोशिश आपको लग रहा होगा तो बहुत ही लंबा कार्यक्रम है लंबा है लेकिन लंबे समय तक काम भी देगा यह मैं आपको कह रही हूं दोस्तों इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं 
1,6133,हमारी एक श्रोता पूछ रही हैं कि गर्भधारण नहीं हो रहा है वह कह रहे हैं कि शादी के डेढ़ साल हो चुके हैं लेकिन गर्भधारण नहीं हो पा रहा है वह भी क्यों नहीं लास्ट वाले हैं लेकिन उस आधा नहीं मिला क्योंकि मैं समझ सकती हूं कि आप निराश हो रही हूं कि घर वाले भी निराश हो रहे होंगे और जब महिला गर्भधारण नहीं करती है तो उसके लिए बहुत कठिनाई हो जाती है आसपास के लोगों का मुंह बंद नहीं होता ससुराल रहते हैं घर वाले भी अपने घर वाले भी कुछ ना कुछ बोलते रहते हैं ना और सिर्फ आप पर नहीं आपके पति पर भी कुछ ना कुछ बोलते होंगे लेकिन महिलाओं पर ज्यादा इसका प्रकोप रहता है तो मैं समझ सकती हूं कि आप चिंता में होगी दो-तीन बातें हैं यदि आपने अपना जांच करवा दिया है तो अपनी पति का भी करा लिया है एक तो यह दूसरा डॉक्टर में कुछ तो बोला होगा ना क्या बोला है वह पहले पता लगाइए तो इन सब चीजों का इलाज है ऐसा नहीं है कि अगर उन्होंने कुछ कि नहीं होता तो क्यों नहीं होता कोई वजह तो होगी यह दूसरा जब भी आप सेक्स के रिश्ता बनाती हैं क्या आपने अपने अच्छे दिन तय कर लिया कि कौन से अच्छे दिन हैं जबकि शरीर से अंडा निकलता है उन दिनों में आपको सेक्स का रिश्ता बनाना है डिस्चार्ज होने की वीर्य आपकी योनि के अंदर जाना चाहिए बगैरा यह सब कुछ आपको आता है ना अगर नहीं मालूम है तो ओवुलेशन कैलेंडर नाम की चीज को इंटरनेट पर ढूंढिए अपनी डेट जानिए महावारी की क्या डेट है कुछ लिखा हुआ है और अपने अच्छे दिनों का जिसको कहते हैं जिसमें आपके शरीर से अंडा निकलता है और दूसरी कोई अच्छे दिन नहीं वह पहले उसका अनुमान लगा लीजिए वह चार-पांच दिन होते हैं महीने में तो आप उस समय चेक कीजिए यदि आपने जांच करवाई है वह पता लगाया तो प्लीज अपनी डॉक्टर से पूछे हो क्या रहा है शरीर के मेरा आपका शरीर है आपको पूरा अधिकार है किसने दी पूछने का ठीक है और निराश मत हो यह केवल आप ही नहीं है अपने पतिदेव को भी बता दीजिए बात आपको हमारी तरफ से बहुत-बहुत यार दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
2,131,रायबरेली से हमारे दोस्त पूछ रहे हैं कि क्या वीर्य पीने से कोई हानि तो नहीं होती आप जो सिवा कुछ नहीं शायद आप सफेद पानी के बारे में पूछ रहे हैं क्योंकि आपके पूरे के बाद में नई नई वीर्य पीने से कोई बीमारी होती है और ना ही कोई फायदा ना कोई नुकसान सेंसी सफेद पानी के लिए भी अप्लाई करता है आपके हैं कि आपकी प्रेमिका जो है वह पहले मुख्यमंत्री उसके बाद सेक्स करना पसंद का हो सकता है कि वह मुखमैथुन उत्तेजना बढ़ाने के लिए करती हूं तो इसमें कोई खराबी की बात नहीं है लेकिन फिर से दिया जाता है कि मुख मिथुन करने से पहले भी अपनी गुप्ता को साफ कर लीजिए और सेक्स करने के बाद ही मुंह गुप्तांग ठीक है ओके चलेगा ओके नमस्ते दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 52
3,125,धनारी दोस्त पूछ रहे हैं कि कोई लड़की अगर बस में साथ बैठ जाती है या कुछ ऐसे होता है या गलती से टच भी हो जाता है तो इनका जो है डिस्चार्ज हो जाता है पेंट गीला हो जाता है कह रहे हो इतना भी नहीं होनी कोई साथ में बैठ जाए तो बस उनके हाथ लगाते ही जो है आपका वीर्य निकल जाए पानी निकल जाए यह क्या हो रहा है आपसे क्या हर औरत को आप की नजर से देख रहे हैं ऐसे नहीं होता और ऐसा भी नहीं है कि आप बिल्कुल भी ध्यान नहीं बैठे हैं कोई self-control तो होता ही है कोई आप 22 करता है सो प्लीज पब्लिक प्लेसिस में जिसमें वह को पता ही नहीं आप क्या कर रहे हैं और ऐसा एक्टिविटी है तो दे रे समथिंग आपको अपने ऊपर कुछ कंट्रोल करना है आपको लगता है कि आप बाहर जाने से डरते हो कि मैं कहीं जाऊंगा कोई मुझे गलती से हाथ लगा दिया तो जगह है नहीं जा पर कि कोई हमें हाथ ना लगा है कोई औरत के साथ में खड़ी हो तो आप कितनी बार डिस्चार्ज करोगे देना भी काम कीजिए शायरी कक्ष क्या होगा यदि आपको जिम जॉइन कर ले कोई एंकर नेहा विश करने वाली लड़कियों के साथ दोस्ती बनाई है हर लड़की को सेक्स की वस्तु की नजर से मत देखिए दोस्तों इस सवाल का जवाब पसंद आया तो अभी अपने फोन नंबर 5 दबाएं
4,119,हमारी पक्की है या नहीं कैसे पता चलेगा नहीं पता चलेगा आप मुझे निशान लग रहे हैं क्या की बाकी हो तो एक लाइन आ जाएगी दूसरी बार किया तो दूसरी आ जाएगी पहले लाल आएगी फिर मीडिया की गाड़ी आएगी के ऊपर कुछ माल है कि नहीं कचरी नहीं ना वह आपके साथ मैं आपके साथ दिन है उस वक्त मैं आपको प्यार इज्जत मोहब्बतें रही है तो फिर हमें पूरा का पूरा दारोमदार पति पत्नी छोटी सी होती है इसी वजह से जब उनका किसी के साथ संबंध तो बिल्कुल ऐसे जैसे कि बाबा प्लीज भूल जाते हैं आपके साथ कैसे घूमते कितना इज्जत मोहब्बत करते हैं यह ज्यादा जरूरी है और अगर आपको कोई सर्टिफिकेट चाहिए तो पहले हमें पूछना पड़ेगा तो क्या होगा धन्यवाद दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
5,1310,हमारी एक कश होता है महिला से होता है वह कह रही थी यदि उन्हें अपने पति से संतान नहीं हो रही तो क्या उन्हें या किसी महिला को यदि ऐसा हो तो क्या होने के साथ आना चाहिए क्या गलत है क्या बताइए मैं हमेशा कहती हूं कि गलत और सही का फैसला मैं नहीं कही अनकही बातें नहीं वह आप ही करेंगे आप अपनी लाइफ की एक्सपोर्ट हम नहीं आप जानते हैं कि आप के परिपेक्ष सही क्या है गलत क्या है लोग आप को कैसे फिट करते हैं कैसे नहीं यह सब आप जानती हैं हैं ना तो यह निर्णय केवल और केवल आपका है और किसी और का नहीं किसी पर आप उस को कंट्रोल करने दीजिए अपना निर्णय लीजिए एक बात की क्या बच्चे के लिए सेट करना है ना कि अपनी-अपनी बड़े कॉम्प्लिकेटेड मामला है क्योंकि यह तो जरूरी नहीं है कि आप एक बार सेक्स करेंगे तो बच्चा ठहर जाएगा अगर 15 बार करना हो तो ऐसा लग गया तो तो आप फिर 15 बार करने के लिए रेडी है क्या फिर यह मत कहिए कि मैं उसी से पर बच्चे के लिए कर रही हूं आपसे किसी और के साथ करना चाहती हैं अपने हिसाब से या कोई और महिला करना चाहती है वह जानती है कि इसकी परिणाम क्या हो सकते हैं ठीक है अलग रखो बच्चे क्या करना है आपको उसके लिए अब तक करना चाहते हैं वह अपने आप लिख इतना अच्छा आईडिया नहीं है उसकी व्यापक डॉक्टरी सलाह लो और दो कि तरीके से करो कि कैसे होता है आईवीएफ नाम की कोई होती है आजकल है ना कि अंडा निकाल के उसको मिक्स किया जा सकता है शरीर में डाला जा सकता है वह आप कर सकते बड़ा महंगा प्रोसीजर है लेकिन आप कर सकते हो या और भी तरीके हैं जिसमें दोनों पति-पत्नी में देखकर की प्रॉब्लम आ रही है लालू और किसी और के साथ संबंध बनाना चाहते हैं और उसके बच्चे रुक जाए वह बात अपने आप में अलग है ठीक है जी आई होप में अपने आप को एक्सप्लेन कर पा रही हूं क्योंकि इसमें तीन अलग-अलग मत या अपने पूछे हैं अगर आपका शरीर है आपको पूरा राइट है कि आप उसको कैसे यूज करते हैं कहां यूज करते हैं कैसे इस्तेमाल करते हैं किसके साथ शेयर करते हैं यह कंपनी कि आपका राइट ओके दोस्तों इस सवाल का जवाब पसंद आया अभी अपनी फोन में नंबर 5 दबाएं
6,1304,हमारे दोस्त पूछ रही हैं बिहार से की पत्नी गर्भवती नहीं हो पा रही हैं और कह रही जानू 4 महीने से चेक करें उसमें कोई बात बताओ 4 महीने से सेक्स करना यानी कि अभी तक उनके शरीर में से केवल 4 दिन की अंडा निकला है हर महीने में 24 घंटे के बाद उसे कैसे हो जाएगी आपकी अपेक्षा कर रहे हो सकता है आपको बहुत दिन में तो क्या हो टाइम पर ना पहुंचा हो हो सकता है कि वह तो ऐसी टेंशन में रही हो आप ऐसे में रहे हो यह सब चीजें सब काम करेंगे अगर की माहवारी बिल्कुल ठीक-ठाक है तो 10 साल तक हम कहते हैं कम से कम इतनी तो मौला डीजे कम से कम चार अंडे को तो मां अभी तो बहुत ही कम में आपको करें कई कई का पहले में हो जाता है कई का का लंबा समय लगता है आपको बिल्कुल चिंता नहीं करनी है आप लोग केवल अभी तो अपने अप्लाई करना शुरू किया शुरुआत कीजिए सेक्स एंजॉय कीजिए बचा बैठे जाएगा चिंता ना कि आप लंबे समय तक रहेगा ही ठहरेगा है ना आपके अंदर भी और आपके साथ भी तो अभी जब तक एक दूसरे के का टाइम है आप एंजॉय की ओके दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अप नंबर 5 दबाएं
7,1338,अंबेडकर नगर से हमारे दोस्त होते हैं की पत्नी को सेक्स के दौरान गिरा पर क्यों नहीं होता है नहीं आता है तो ऐसा क्या कारण है कोई तकलीफ होती है वह कह रहे हैं कि क्या है असल में बताओ दोस्तों यह कि यदि उत्तेजना नहीं बन रही यदि सेक्स में इंटरेस्ट नहीं आ रहा है यदि सेक्स उनके लिए मजेदार आनंददायक नहीं है तो गीलापन नहीं बन रहा होगा यह भी हो सकता है तो आपने सेक्स करने की तरीका उनको क्या अच्छा लगता है वह क्या आनंदा सोनी किस चीज में मजा आता है यह सब कुछ पता लगाना और उसी के हिसाब से आप आगे बढ़ेंगे और उम्मीद करते हैं कि उनको अच्छा लगेगा आपको सदा सुखी रहेगी तो उसके अंदर प्रवेश करने से उनको दर्द होगा तकलीफ होगा सेक्सी हमको नायक नहीं लगेगा तो यह सारी चीजें आपको देखनी है तो पहले आप अपना सिक्का जो रूटीन है उसको थोड़ा सा और अच्छा कीजिए हम को क्या पसंद है आता है वह पता लगाइए वह क्या किस चीज को तो इसमें होती है वही उसकी उसकी लावा हमेशा तुझे शिंदे कंडोम यूज कीजिए क्योंकि उसके अंदर पहले होती चिकनाई है लेकिन अगर वह बिल्कुल नहीं बन रहा तो फिर कर सकता है तो यह भी आपको देखना है कि आपको एक पदार्थ जिसको हम बिजली डिओरा जेलेना वॉटर बेस्ड लुब्रिकेंट उसको कहा जाता है और आप उनमें से कोई ले सकते हैं केमिस्ट की दुकान है वह लिंग पर या कान पर लगाकर प्रवेश करने की कोशिश कर सकते हैं जब तक कि उत्तेजना नहीं बन रही है या सुखा रहता है ठीक है सबसे बड़ी बात है उत्तेजना पर काम कीजिए उनकी अपनी नहीं दोस्तों इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
8,284,हम साथ ही पूछ रही थी यदि किसी की बच्चेदानी नहीं होती है तो इसका क्या उपाय है मैं आपका सवाल समझी नहीं किस चीज का उपाय नहीं बच गई क्या बच्चा करने का उपाय पूछ रही है और क्या पूछ रही है क्या वजह से मैंने कहा आपका सवाल दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
9,1264,बिहार के हमारे दोस्त पूछ रहे हैं कि महिलाओं की एमसी के कितने दिनों के बाद आपको सेक्स करना है कि महिला प्रेग्नेंट किया गर्भवती होना हो अच्छा सवाल है इसलिए तो एमपी के दिनों में आप कंडोम का इस्तेमाल कीजिए और आप देख लीजिए चाय तो और सेफ्टी के लिए नीचे एक तकिया या एक तौलिया बेटर होगा पुराना डाल सकते हैं क्या न कुछ गिरे भी तो उसको सोकले जयंती का दिन शुरू होता है वहां से लेकर 10 दिन आप और कि नहीं बी सीरीज 5 दिन आते हैं उसमें आप मत कीजिए और उसके बाद जो बाकी देनी है जब तक एमसी फिर से ना आ जाए आप कर सकते हैं इस तरह अब समस्या क्या है पता है इससे यह है कि हमें पता नहीं चलता कि लड़की में से उस फ्री में से अंडा कब निकलेगा फौजी बीच में 500 दिन में आपको कहना 7 दिन वही सा दिन है जिसमें कि आप अंदाज़ा लगाते हैं ऐसा आप लगाते हैं कि शायद उस समय पर उसका निकलना चाहिए कभी भी आ सकता है आप अगर गड़बड़ हो गया तो क्या आपने यह सब ठीक से नहीं लगाएं तो या लड़की की माहवारी का साइकिल बिल्कुल उबर खाबर है कोई निर्धारित नहीं है 1 महीने में इतने दिन पर आ रहा है 1 दिन महीने में किसी और तारीख में आ रहा है तो यह सिस्टम काम करने वाला नहीं है सौ सौ बात की एक बात कंडोम के बारे मैं हमेशा सोचिए और उसके बगैर कंडोम के बगैर सेक्स के बारे में सोच ही माकपा ठीक है दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
