,Filenumber,Question,Topic
0,694,एडस बीमारी क्या है ?,STDs
1,1112,सेक्स की बात करने से लिंग खड़ा क्यों हो जाता है,Other sexual health issues
2,5374,हस्तमैथुन करने के बाद लिंग में जलन होता है,Masturbation
3,3705,महिलाओं के योनि और स्तन के बारे में बताएँ,Other sexual health issues
4,3063,सेक्स के दौरान पत्नी चिल्लाती क्यों है,\N
5,5412,मोटे लिंग को पतला और लम्बा कैसे करें,Other
6,1674,सम्बन्ध बनाते समय लिंग बहुत जल्दी ढ़ीला पड़ जाता है,Sex
7,1660,"सेक्स कैसे करे ,जानकारी दे",Sex
8,4718,सेक्स के बारे में जानकारी चाहिए,Sex
9,3077,सेक्स करते समय लिंग क्यों खड़ा हो जाता है,Sex
10,2369,सेक्स करने से होने वाली पांच बीमारी के बारे में बताये,Other
11,5406,कॉन्डम का इस्तेमाल कैसे करते है,Contraceptives
12,5360,रिश्तेदार की लड़की को कैसे पटाये,Love and relationship
13,3711,"एक-दूसरे से प्यार करने के बावजूद , लोग छोड़ कर क्यों चले जाते है ?",Love and relationship
14,680,कब सेक्स करने पर ग़र्भ -धारण की सम्भावना नही होती ?,Pregnancy
15,1106,शुक्राणु निकलने के बाद बदबू क्यों देता है,Sex
16,858,कैसे करनी चाहिए महिला के साथ सेक्स क्रिया की शुरुआत ?,Sex
17,5348,दोस्ती बीच में ही क्यों टूट जाती है,Love and relationship
18,2427,18 साल से पहले अगर सेक्स करे तो कोई दिक्कत है क्या,Sex
19,3739,पत्नी के साथ अप्राकृतिक यौनाचार और गर्भवती सेक्स किया जा,\N
20,4056,सेक्स के लिए कैसे तैयार किया जाये,Sex
21,870,लड़किया गर्भधारण कैसे करती है,Pregnancy
22,6641,कितने उम्र तक सेक्स कर सकते हैं,Sex
23,6127,पत्नी सम्भोग करने नहीं देती है,Sex
24,1648,सेक्स करने समय लड़की की योनि में भी परिवर्तन आता है,Other sexual health issues
25,1890,"विमल खाने के क्या दुष्परिणाम होते है,बताये",Other
26,4730,एक दिन में कितनी बार सेक्स करे जिससे मन भर जाए,Sex
27,2341,लड़की को देखने से सेक्स करने का मन करता है,Attraction
28,4724,पीरियड के दौरान दर्द क्यों होता है ?,Cramp and pain (stress)
29,2355,ज़्यादा हस्थमैथुन करने पर क्या लिंग कमज़ोर हो जाता है ?,Masturbation
30,6133,क्यों नही हो रहा गर्भधारण,Pregnancy
31,1884,सेक्स करने के तुरंत बात पेशाब क्यों लगता है ?,Sex
32,864,"लिंग बहुत लम्बा है,उपाय बताये",Other sexual health issues
33,6655,महिला पार्टनर को कैसे सेक्स के लिए राजी करनी चाहिए,Sex
34,2433,नाईट फॉल होता है इसका कोई दवाई बताए,Pre-mature ejaculation_Nightfall
35,4042,सेक्स सम्बंधित जानकारी दें,Sex
36,657,वीर्य जल्दी क्यों गिरता है,Pre-mature ejaculation_Nightfall
37,131,वीर्य पिने से कोई हानि तो नहीं होता है ?,Sex
38,4917,कॉपरटी लगाने से लड़कियों को कोई नुकसान होता है क्या,Contraceptives
39,4903,माहवारी के समय में सेक्स करने से क्या होता है,Sex
40,125,"लड़की के टच होने से पैंट गिला होता है,उपाय बताये",Attraction
41,643,वीर्य कैसे बनता है ?,White discharge
42,4095,"स्त्री को सेक्स में ज्यादा आनंद देने के लिए ,क्या करना चाहिए ?",Sex
43,3922,पहली बार सेक्स करने में क्या डर लगता है,Sex
44,2382,हस्थमैथुन करने पर दिमाग में कोई असर पड़ता है,Masturbation
45,1853,सेक्स करते समय जलन बहुत ज्यादा होती है,Sex
46,119,महिला ने पहले सेक्स किया है या नहीं ये कैसे पता चलेगा ?,Sex
47,1847,क्या भाभी से सेक्स करना सही होगा ?,Sex
48,2396,वीर्य को गाढ़ा करने का उपाय बताये,Pre-mature ejaculation_Nightfall
49,3088,पीरिएड गाढ़ा होता है,Pregnancy
50,4081,वीर्य पी कर सेक्स करना क्या उचित है ?,Sex
51,3936,टेढ़े लिंग को सीधा करने के क्या उपाय है,Other sexual health issues
52,1476,लिंग में तनाव क्यों आ जाता है,Other sexual health issues
53,6319,लड़कियाँ झूठे लड़कों को क्यों पसंद करती हैं,Love and relationship
54,5610,योनि का मतलब क्या होता है,Other
55,3261,एचआईवी से महिलाओं को कैसे बचाना चाहिए,STDs
56,4268,शादी के कितने दिन बाद सेक्स करे की बच्चा स्वस्थ्य रहे,Sex
57,3507,गर्ल-फ्रेंड कैसे बनाएं,Love and relationship
58,2619,छोटी महिला के गर्भवती होने पर क्या शरीर बाहर निकलना शुरू हो जाता है,Pregnancy
59,5176,मासिक धर्म के कितने दिन बाद सेक्स करना चाहिए,Sex
60,1310,महिला दूसरे पुरुष के साथ सम्बन्ध बना सकते है,Sex
61,496,लिंग का साइज़ कैसे नाप सकते हैं,Sex
62,1304,पत्नी क्यों नहीं गर्भवती हो पा रही है,Pregnancy
63,482,सेक्स करने के बाद लड़कियों के यौनि से क्या निकलती है?,Pre-mature ejaculation_Nightfall
64,3513,क्या पुरुष के साथ सेक्स कर सकते हैं,Sex
65,5162,स्तन को टाइट करने के लिए क्या करना होगा,Other
66,5604,क्या पंद्रह साल का लड़का दस साल की लड़की के साथ सेक्स कर सकता है,Sex
67,3275,महिलाओं के योनि के अंदर झिल्ली कैसी होती है,Sex
68,1462,हस्तमैथुन करने से क्या शरीर नहीं बनता है,Masturbation
69,2143,लड़की के योनि में कितना अंदर तक लिंग डालें,Sex
70,4532,लड़की को कैसे उत्तेजित करे,Sex
71,6325,सेक्स ज्यादा देर तक नहीं कर पाते है,Other sexual health issues
72,6443,बदमाश लड़कों को सुधारने के लिए क्या करना चाहिए,Gender division in daily life
73,4254,लड़कियों को सेक्स करने का मन करें तो उनमे क्या होता है,Sex
74,2625,पत्नी के साथ क्या रोज सेक्स कर सकते है,Other sexual health issues
75,4240,सेक्स करने के दौरान पार्टनर को कैसे रखे खुश,Sex
76,2631,मुख-मैथुन औरत को कैसा लगता है ?,White discharge
77,6457,सेक्स करना चाहते हैं,Male
78,1338,पत्नी को सेक्स के दौरान गीलापन नहीं होता है,Sex
79,6331,क्या समलैंगिक सेक्स उचित है,Sex
80,5638,लिंग का आकार बढ़ाने के लिए क्या करना चाहिए,Other
81,2157,लिंग जल्दी ढीला और छोटा पड़ जाता है,Other sexual health issues
